"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
44,2,NA,12,322,8,5,10,8,1,5,9,1,2,4,4,5,5,3,5,90
64,2,NA,13,322,NA,1,7,7,1,5,7,1,2,2,2,6,6,4,5,60
56,2,4,12,322,4,0,10,10,3,6,7,1,1,2,1,7,7,4,5,780
32,1,NA,12,322,7,5,9,10,2,6,8,2,2,1,3,5,5,3,5,240
54,2,4,12,322,NA,5,8,8,2,5,7,1,1,2,3,5,5,3,5,120
52,2,4,12,322,NA,1,5,5,2,4,5,2,2,2,2,7,7,1,5,195
35,2,6,18,720,9,3,9,8,1,5,9,4,1,4,3,7,6,2,5,270
69,1,NA,12,322,5,4,8,7,3,5,8,1,1,1,3,6,3,3,4,120
34,2,6,11,322,3,5,5,10,2,4,3,2,2,2,2,7,7,3,5,360
48,1,NA,40,322,7,8,10,10,1,4,10,1,1,1,1,5,4,2,5,180
26,2,6,13,423,NA,5,7,7,1,6,5,1,2,4,2,7,NA,3,5,180
85,2,NA,9,212,NA,8,6,6,3,5,4,1,2,2,1,3,2,1,1,NA
57,2,6,14,322,NA,1,10,9,3,4,0,1,2,4,3,7,7,2,5,0
69,2,NA,25,720,7,3,8,9,3,6,7,1,1,6,2,7,7,2,5,150
83,2,5,8,212,5,6,5,NA,4,6,4,1,3,1,3,5,3,1,1,NA
66,1,NA,14,322,9,3,9,8,2,6,7,2,2,2,1,7,7,3,5,240
71,1,4,12,322,3,1,10,10,2,5,5,1,1,1,1,5,1,2,1,NA
82,1,NA,13,423,NA,6,9,9,2,6,3,3,1,1,3,4,4,3,5,195
85,1,5,8,212,8,5,7,7,3,3,3,1,2,1,3,4,7,3,1,NA
74,2,5,12,322,3,7,8,8,2,6,7,3,2,3,4,4,2,3,1,NA
27,2,6,NA,313,3,8,10,10,1,3,3,3,4,6,3,7,7,1,5,120
